caseid,midprice
622,3.1859534
623,3.1907036
624,3.186207
625,3.1825466
626,3.1830637
627,3.1818743
628,3.1849468
629,3.1831543
630,3.1860855
631,3.194965
632,3.2115872
633,3.2104485
634,3.2110872
635,3.2118483
636,3.2126572
637,3.2126236
638,3.2167768
639,3.2062364
640,3.1982281
641,3.204164
642,3.2032473
643,3.2017415
644,3.2027888
645,3.1945906
646,3.1928835
647,3.1949413
648,3.1960235
649,3.1889248
650,3.1884847
651,3.1903722
652,3.1880789
653,3.184888
654,3.1949747
655,3.1909735
656,3.1865125
657,3.1822119
658,3.1811445
659,3.1838677
660,3.1796565
661,3.1860983
662,3.1929972
663,3.1950684
664,3.1934037
665,3.1932578
666,3.1846273
667,3.185369
668,3.1838586
669,3.1802688
670,3.1831315
671,3.1844413
672,3.181838
673,3.1884215
674,3.1875207
675,3.1838875
676,3.1942365
677,3.188774
678,3.1914003
679,3.1984155
680,3.1984332
681,3.1989977
682,3.2024975
683,3.1976302
684,3.203769
685,3.1879032
686,3.188142
687,3.199287
688,3.1840084
689,3.1772199
690,3.1839192
691,3.1788743
692,3.1991534
693,3.183612
694,3.1810715
695,3.1849647
696,3.179534
697,3.1787453
698,3.1767538
699,3.1656625
700,3.1784296
701,3.196973
702,3.2086637
703,3.1926477
704,3.192746
705,3.1814873
706,3.1845622
707,3.2038991
708,3.1938584
709,3.185112
710,3.1905024
711,3.1852508
712,3.185856
713,3.1999762
714,3.1976368
715,3.1904137
716,3.1998699
717,3.2152312
718,3.19284
719,3.2037127
720,3.1909206
721,3.1887105
722,3.178113
723,3.176221
724,3.180865
725,3.1850817
726,3.1822999
727,3.1737225
728,3.1731377
729,3.1771193
730,3.1649818
731,3.166799
732,3.15722
733,3.1664865
734,3.1654108
735,3.169041
736,3.1765609
737,3.1693892
738,3.173658
739,3.1729572
740,3.1782174
741,3.192499
742,3.1974957
743,3.195908
744,3.1970692
745,3.196994
746,3.1931581
747,3.19037
748,3.18583
749,3.1948607
750,3.187562
751,3.1803362
752,3.1856549
753,3.185238
754,3.17954
755,3.187044
756,3.184294
757,3.1878583
758,3.184958
759,3.1797283
760,3.1829703
761,3.1592681
762,3.1853175
763,3.1770053
764,3.1762624
765,3.183864
766,3.1843612
767,3.1807144
768,3.1763408
769,3.174425
770,3.1699858
771,3.1656272
772,3.168309
773,3.1817272
774,3.1747026
775,3.1531365
776,3.166057
777,3.1736865
778,3.1735504
779,3.1750886
780,3.161211
781,3.1620631
782,3.16807
783,3.1961355
784,3.1933491
785,3.1922987
786,3.2143397
787,3.2066362
788,3.211258
789,3.2050261
790,3.2354867
791,3.2086532
792,3.2215693
793,3.2206335
794,3.2027342
795,3.2432961
796,3.2190123
797,3.245797
798,3.2378364
799,3.2510424
800,3.2411864
801,3.2346847
802,3.2480278
803,3.2534873
804,3.2452776
805,3.2660906
806,3.2705984
807,3.258036
808,3.2625568
809,3.2580645
810,3.2530477
811,3.2610755
812,3.2643573
813,3.2611148
814,3.1362412
815,3.1300688
816,3.1188784
817,3.1265137
818,3.1188402
819,3.127601
820,3.129412
821,3.1232975
822,3.1226714
823,3.1233656
824,3.1290233
825,3.1276486
826,3.1289277
827,3.127029
828,3.1250741
829,3.1288314
830,3.1240928
831,3.1224158
832,3.1382387
833,3.1309974
834,3.134851
835,3.1359541
836,3.1512156
837,3.1377199
838,3.1321046
839,3.1394503
840,3.1523995
841,3.1482892
842,3.144377
843,3.1442714
844,3.1374757
845,3.1363606
846,3.135403
847,3.1364803
848,3.1385567
849,3.140198
850,3.1344676
851,3.1290598
852,3.1305027
853,3.1382933
854,3.1291568
855,3.1314533
856,3.1346097
857,3.13535
858,3.1261208
859,3.1307998
860,3.1387422
861,3.1359334
862,3.1385894
863,3.1382146
864,3.139827
865,3.138491
866,3.1470475
867,3.143619
868,3.1477525
869,3.1401696
870,3.1475935
871,3.1406436
872,3.1397853
873,3.1430786
874,3.1540606
875,3.1305592
876,3.1413164
877,3.1310647
878,3.1346505
879,3.1414685
880,3.1490557
881,3.1482415
882,3.153757
883,3.1439672
884,3.147742
885,3.1487906
886,3.1495528
887,3.144789
888,3.1455557
889,3.1298468
890,3.1455088
891,3.1568696
892,3.1478279
893,3.1246479
894,3.1310737
895,3.1378038
896,3.1424851
897,3.1563373
898,3.15035
899,3.145987
900,3.1646082
901,3.1522028
902,3.1527412
903,3.152837
904,3.147276
905,2.9596894
906,3.1831248
907,3.1966045
908,3.2355335
909,3.1885712
910,3.2138712
911,3.0526984
912,3.048064
913,3.0621712
914,3.0705864
915,3.0870452
916,3.0724974
917,3.0807364
918,3.0857399
919,3.0856683
920,3.0766685
921,3.0839097
922,3.0962281
923,3.085478
924,3.09217
925,3.0838091
926,3.0823565
927,3.049791
928,3.0993848
929,3.0774567
930,3.0897167
931,3.0841997
932,3.088002
933,3.0934122
934,3.103007
935,3.1156662
936,3.1249876
937,3.1249871
938,3.1249337
939,3.1300194
940,3.1346269
941,3.1348922
942,3.1314118
943,3.13814
944,3.1369426
945,3.1438942
946,3.1450806
947,3.1392515
948,3.1399856
949,3.143638
950,3.1349845
951,3.1337209
952,3.134715
953,3.130239
954,3.133837
955,3.132685
956,3.1244757
957,3.127669
958,3.1255271
959,3.1274786
960,3.1270423
961,3.1331022
962,3.133897
963,3.1432831
964,3.1430101
965,3.148757
966,3.144472
967,3.1513212
968,3.1564593
969,3.1633391
970,3.1905487
971,3.1741092
972,3.1811025
973,3.168966
974,3.19354
975,3.1889994
976,3.1984031
977,3.2120755
978,3.21599
979,3.211768
980,3.2148778
981,3.214563
982,3.2239048
983,3.2086732
984,3.2231557
985,3.230077
986,3.248785
987,3.250776
988,3.242153
989,3.2442758
990,3.2460797
991,3.263952
992,3.2770803
993,3.2474456
994,3.2651002
995,3.265335
996,3.2605746
997,3.2575805
998,3.2626636
999,3.2727907
1000,3.266557
